county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may
005,1989,8.25,9.09,43.1,49.8,54.6,45.9,86.5,85.6,84.87,-1.09,-1.17,-1.15,-1.14,-0.55,-0.32,-0.67,-0.8
005,1990,8.6,2.06,40.8,51.9,58,42.3,86.6,84.3,84.9,2.12,1.93,1.66,1.9,0.08,-0.22,0.21,2.08
005,1991,6.33,11.02,48.4,61.2,56.5,46.6,87.7,88.6,87.8,-1.62,-1.83,-2.4,-1.95,-1.12,-2.28,-1.78,-1.09
005,1992,5.84,4.22,42.7,51.6,54.6,43.2,86.2,82.2,83.5,-2.82,0.44,0.39,-0.66,1.32,-0.01,-0.12,-2.52
005,1993,9.67,10.43,42.3,54,54.4,41.9,88.5,87.1,86.33,1.69,2.4,2.99,2.36,2.65,2.51,1.69,1.91
005,1994,4.29,7.07,42.9,49.1,53.6,46.4,85.4,84.7,85.67,-0.58,-1.01,-1.42,-1,-1.48,-1.53,-1.08,-0.56
005,1995,9.14,7.66,40.8,52.8,52.2,44.2,87.7,90.8,87.23,2.26,-0.1,-0.3,0.62,-0.3,-0.65,-0.22,2.41
005,1996,6.59,3.39,38.9,55.4,54,44.3,85.5,87.1,85.3,1.5,1.8,1.23,1.51,1.36,-1.15,-0.22,2
005,1997,11,6.01,38.6,48.8,56.2,45.3,88.2,83.2,84,-0.68,-0.85,-0.42,-0.65,-0.72,1.03,-0.16,-0.46
005,1998,11.42,5.24,44.1,59,61.1,47.5,86.4,85.9,85.4,2.12,2.5,2.83,2.48,1.81,1.77,2.31,1.11
005,1999,11.3,4.02,47.1,53.7,52.7,43.6,90.3,85.2,86.27,0.3,0.54,-0.15,0.23,0.83,-0.45,0.41,0.01
005,2000,6.55,3.6,41.4,56.5,55,48.2,83.8,85.8,83.9,1.18,2.19,3.48,2.28,3.38,4.56,3.56,0.3
005,2001,4.95,5.4,48.5,55.4,54.3,44.7,87.2,87.7,85.63,-1.49,-1.46,-1.35,-1.43,-0.36,-0.13,-0.45,-1.35
005,2002,9.19,6.44,45.7,51,58.9,44.3,90.1,87.1,87.9,-0.46,-0.74,-0.82,-0.67,-0.98,-0.48,-0.95,2.98
005,2003,5.01,3.16,44.9,52.7,53.2,44.6,87.4,87.5,84.53,0.48,0.56,0.6,0.55,0.37,0.29,0.53,0.2
005,2004,9.04,8.43,45.1,58.7,55.9,47.9,84.1,81,82.3,0.89,1.49,1.97,1.45,2.08,1.88,0.75,1.63
005,2005,11.8,7.57,46.3,51,59.9,45.8,87.9,88.1,87.63,-2.38,-2.46,-2.4,-2.41,-0.98,-0.57,-1.35,-1.73
005,2006,7.32,5.6,46.9,53.9,54.2,41.7,88.9,87.2,86.83,-2.3,-2.57,-2.79,-2.55,-1.52,-1.45,-1.3,-2.21
005,2007,8.55,6.46,40.8,58.2,58.5,49.7,85.4,93.9,88.07,-1.82,-2.17,-3.03,-2.34,-1.61,-3.25,-1.86,-1.76
005,2008,14.27,4.22,42,50.5,57.7,45.2,86.2,83.3,85,2.54,3.22,2.8,2.85,2.82,-0.27,0.86,2.82
005,2009,6.53,6.21,43.5,54.5,57.1,42.8,81.6,83,83.07,2.84,2.92,2.73,2.83,1.12,0.32,0.46,3.19
005,2010,5.12,7.27,48.5,56.1,57.4,44.4,88.7,89.5,88.47,2.88,3.81,3.77,3.49,3.7,1.06,2.56,2.12
005,2011,7.76,7.17,45.7,53.4,53.9,44.3,91.8,88,88.47,4.29,-0.13,-0.76,1.13,-0.38,-1.95,0.66,3.18
005,2012,8.11,8.36,44.6,58.3,55.3,44.1,97.1,89,91.13,-2.03,-3.28,-3,-2.77,-4.38,-0.18,-2.39,-1.29
005,2013,10.18,4.23,42.4,54.9,58,45.9,84.2,84.7,84.1,4.51,4.9,4,4.47,2.56,-1.19,1.43,3.94
005,2014,5.35,4.8,44,55.3,54.8,46.5,83,85.3,84.23,1.5,1.09,1.77,1.45,-0.77,2.38,0.76,1.42
005,2015,5.67,5.61,46,56.8,60,44.9,85.9,84.1,84.43,3.16,3.07,4.08,3.44,0.72,3.96,2.84,2.09
005,2016,4.34,16.16,44.6,52.8,60.7,51.2,86.5,85.8,87,1.76,2.53,3.56,2.62,2.85,3.86,1.52,2.76
005,2017,5.35,4.38,47.2,53.4,56.9,48.9,90,83.5,86.5,1.79,2.25,0.02,1.35,1.93,0.05,0.33,2.36
005,2018,13.96,2.85,35.6,61.4,61.2,46.3,87.2,85.7,87,1.41,1.47,1.81,1.56,0.63,1.48,0.99,1.25
005,2019,12.2,6.8,44.3,55.5,62.7,45.4,87.8,83.9,84.67,3.06,2.87,4.15,3.36,0.39,4.71,2.01,3.07
005,2020,13.24,4.74,40,51.8,55.8,41.7,88.6,84.8,86.83,2.69,3.31,3.04,3.01,2.71,0.21,0.28,3.77
005,2021,9.38,5.98,43.2,52.2,58.3,52.3,85.8,86.3,86.13,0.93,2.25,2.55,1.91,4.27,1.58,1.84,1.15
005,2022,10.84,3.62,41.7,56.3,57,41.3,87.9,86,87.07,1.13,2.21,2.22,1.85,3.58,0.71,0.94,1.81
005,2023,11.34,3.79,43.5,54.9,57.2,46.9,88.3,86.6,87.1,-1.26,-1.06,-0.68,-1,0.21,0.82,-0.23,-0.76
005,2024,8.02,3.74,46.4,58.6,58.4,45.9,85.7,85.9,86.3,0.47,1.98,1.49,1.31,4.67,-0.85,0.68,1.18
005,2025,6.07,9.75,44.6,52.9,58.1,50,89.7,85.8,86.87,0.99,1.7,-0.93,0.59,2.46,-2.8,-0.49,1.52
007,1980,2.42,4.77,36.2,47.8,52.4,36,85.1,81.1,81.3,0.66,0.68,1.34,0.89,0.26,2.17,1.47,-1.21
007,1981,3.11,3.82,39.7,43.7,50.2,37.6,81.1,79.5,80.13,-0.06,-0.81,1.08,0.07,-2.28,3.25,0.87,-0.67
007,1982,4.99,2.41,32.4,53.8,50.8,40.7,82.9,77.9,78.6,0.68,2,1.81,1.5,4.15,0.04,1.29,0.88
007,1983,4.41,8.91,34.7,43.9,50.9,41.7,87.5,86.7,84.97,-0.73,-0.74,-1.19,-0.89,-0.27,-1.57,-1.34,3.14
007,1984,4.01,7.03,37.3,44,49.6,43.4,82.1,84.8,82.77,-0.23,-0.33,-1,-0.52,-0.37,-2.12,-1.06,1.18
007,1985,6.42,6.5,42.4,49.1,53.6,41.5,83.7,78,79.77,-1.4,-1.44,-1.27,-1.37,-0.54,0.07,-0.62,-1.04
007,1986,4.51,8.6,39.4,49.6,54,41.6,84.1,77.4,80.3,1.18,1.29,0.92,1.13,0.69,-0.71,-0.11,1.43
007,1987,3.36,1.8,38.4,50.4,51.2,34.3,85.8,79.6,83.43,-1.54,0.25,2.4,0.37,0.75,6.54,1.65,-0.85
007,1988,5.07,6.56,35.7,47,52,34.3,89.2,87.2,87.77,-2.55,-3.51,-3.99,-3.35,-3.66,-2.52,-3.42,-1.33
007,1989,3.07,5.93,34.8,46.2,48.6,39.5,84.5,79.8,81.07,-3.94,0.8,1.02,-0.71,2.39,0.91,0.63,-3.87
007,1990,6.67,1.59,37.5,44.8,53.4,37.3,81.2,80,80.17,2.36,2.36,2.72,2.48,0.72,1.8,1.96,1.38
007,1991,5.91,6.08,39.8,54.3,50,40.4,85.5,84.2,84.57,-0.84,-1.72,-2.35,-1.64,-2.88,-2.43,-2.55,-0.07
007,1992,4.84,5.81,35.4,45,50,37.8,77,75.8,77.2,-1.83,1.09,1.02,0.09,3.27,0.14,0.18,-0.97
007,1993,5.98,7.95,34.6,48.6,48.4,36.8,81.7,81.8,80.07,5.66,5.3,4.52,5.16,0.68,-0.71,2.74,3.24
007,1994,4.7,2.83,37.7,45,53.9,42.3,81.1,77.4,80.63,0.27,0.03,0.89,0.4,-0.64,2.6,0.92,-1.8
007,1995,3.76,5.96,33.6,46.2,48,40.3,85.6,86.2,85.03,-0.98,-1.47,-1.62,-1.36,-1.75,-0.91,-1.87,1.4
007,1996,2.81,3.99,32.2,45.2,51.3,38.9,80,81.5,79.83,2.64,2.94,2.51,2.7,1.72,-0.38,1,2.32
007,1997,5.57,2.82,33.2,41.9,51.4,40.8,83.3,77.8,80.37,1.03,-0.74,-0.6,-0.1,-2.23,0.2,-0.43,0.87
007,1998,6.38,2.45,38.6,52.4,54.2,42.7,82.8,81.9,80.97,1.94,1.31,1.52,1.59,-1.28,1.04,0.68,1.31
007,1999,4.59,2.97,39.5,49.7,47.8,37.8,86.8,78.8,81.93,2.75,-0.22,-0.23,0.77,-0.65,-0.1,0.77,1.93
007,2000,4.04,2.55,35.7,50.1,51.8,43.2,80.5,80.9,79.43,2.71,2.65,2.42,2.59,0.67,0.13,1.75,1.36
007,2001,5.57,4.41,40.5,49.9,50,40.6,85.8,82.8,82.1,1.41,0.69,0.67,0.92,-1.72,0.13,-0.58,1.64
007,2002,4.05,2.9,38.3,43.4,53.2,39.8,87.4,83.2,83.8,0.58,-1.13,0.81,0.09,-3.38,2.44,-0.04,0.33
007,2003,1.85,1.38,34.7,45.9,50.4,37.7,82.2,84.8,81.43,-1.4,-0.72,-1.48,-1.2,1.63,-2.5,-0.88,-0.9
007,2004,5.98,7.28,36.8,48.3,52.6,41.7,79.9,75.8,77.57,2.11,-0.29,-0.08,0.58,-0.86,0.52,0.22,1.98
007,2005,6.04,3.78,39.1,45,56.1,42.3,84.8,83.2,84.47,-2.58,-3.29,-3.27,-3.05,-2.92,-0.96,-2.48,-1.55
007,2006,7.12,4.28,40.4,48.7,50.6,37.1,84.5,81.4,81.3,0.83,0.75,1.05,0.88,0.01,1.13,0.43,0.87
007,2007,5.5,5.32,35.7,50.5,52.9,46.7,82.2,82,81.63,0.79,0.71,3.55,1.68,0.01,8.72,2.92,0.87
007,2008,7.8,3.73,38.8,42.9,54.2,39.6,82.4,80.7,80.97,3.48,4.3,3.48,3.75,3.53,-1.12,1.62,2.97
007,2009,8.15,6.08,35.7,47.6,52,38.9,76.1,77.1,77.07,5.01,4.38,4.68,4.69,-0.35,2.27,1.45,4.68
007,2010,3.22,5.42,41.4,50.4,52.2,39.3,85,83.7,82.8,3.09,4.25,3.55,3.63,4.44,-0.78,2.13,2.44
007,2011,6.48,2.65,37,47.5,50.5,40.6,87.6,82,82.97,1.65,2.01,1.98,1.88,1.6,0.52,0.3,2.29
007,2012,4.96,6.11,37.4,51,48.5,38,91.2,82.6,85.63,-2.12,-2.82,-3.39,-2.78,-2.76,-2.58,-3,-1.01
007,2013,8.15,3.26,35,48.9,52.2,39.5,81.5,81.1,80.07,4.23,-0.56,-0.99,0.89,-1.69,-1.45,0.71,2.76
007,2014,4.23,4.06,34.4,47.5,49.5,39.8,78.1,80.6,79.27,1.68,1.46,1.88,1.67,-0.15,1.71,1.81,0.44
007,2015,2.73,2.45,37,49.3,57.2,42,80.8,79.4,79.17,1.54,1.57,1.48,1.53,0.54,0.22,1.26,0.6
007,2016,4.62,10.58,36.4,46.9,57.8,45.1,83.4,82.2,82.33,0.94,1.62,1.7,1.42,2.33,0.74,0.6,1.52
007,2017,7.2,4.57,40.9,45.5,53.1,45.1,82.2,79,80.93,3.74,5.24,4.28,4.42,5.65,-1.28,2.46,3.06
007,2018,5.98,1.86,27.5,52.4,55,39.7,82.5,82,81,3.25,2.56,2.66,2.82,-1.06,1.09,1.53,1.92
007,2019,7.98,3.97,36.9,46.4,58.1,40,86.5,80.5,81.47,4.53,3.67,3.36,3.85,-1.18,0.19,-0.54,5.29
007,2020,7.06,3.62,35.3,47.1,51.3,36.6,85.8,83.4,84.13,0,-0.27,-0.86,-0.38,-0.81,-1.85,-0.88,4.17
